INF1,INF2,sample,result
0.00000,0.15000,000,outOfTime
0.00000,0.20000,000,outOfTime
0.00000,0.30000,000,semelparous
0.00000,0.45000,000,semelparous
0.00000,0.45000,000,semelparous
0.00000,0.25000,000,semelparous
0.00000,0.35000,000,semelparous
0.00000,0.05000,000,iteroparous
0.00000,0.10000,000,outOfTime
0.00000,0.25000,000,semelparous
0.00000,0.30000,000,semelparous
0.00000,0.10000,000,outOfTime
0.00000,0.35000,000,semelparous
0.00000,0.20000,000,outOfTime
0.00000,0.45000,000,semelparous
0.00000,0.40000,000,semelparous
0.00000,0.15000,000,outOfTime
0.00000,0.10000,000,outOfTime
0.00000,0.50000,000,semelparous
0.00000,0.10000,000,outOfTime
0.00000,0.45000,000,semelparous
0.00000,0.05000,000,outOfTime
0.00000,0.05000,000,iteroparous
0.00000,0.40000,000,semelparous
0.00000,0.15000,000,outOfTime
0.00000,0.10000,000,outOfTime
0.00000,0.45000,000,semelparous
0.00000,0.45000,000,semelparous
0.00000,0.25000,000,semelparous
0.00000,0.20000,000,semelparous
0.00000,0.25000,000,semelparous
0.00000,0.15000,000,semelparous
0.00000,0.30000,000,semelparous
0.00000,0.35000,000,semelparous
0.00000,0.35000,000,semelparous
0.00000,0.45000,000,semelparous
0.00000,0.40000,000,semelparous
0.00000,0.15000,000,outOfTime
0.00000,0.15000,000,outOfTime
0.00000,0.40000,000,semelparous
0.00000,0.05000,000,iteroparous
0.00000,0.35000,000,semelparous
0.00000,0.20000,000,semelparous
0.00000,0.45000,000,semelparous
0.00000,0.35000,000,semelparous
0.00000,0.20000,000,semelparous
0.00000,0.50000,000,semelparous
0.00000,0.50000,000,semelparous
0.00000,0.35000,000,semelparous
0.00000,0.15000,000,outOfTime
0.00000,0.30000,000,semelparous
0.00000,0.25000,000,semelparous
0.00000,0.40000,000,semelparous
0.00000,0.20000,000,semelparous
0.00000,0.40000,000,semelparous
0.00000,0.35000,000,semelparous
0.00000,0.35000,000,semelparous
0.00000,0.30000,000,semelparous
0.00000,0.25000,000,semelparous
0.00000,0.35000,000,semelparous
0.00000,0.30000,000,semelparous
0.00000,0.50000,000,semelparous
0.00000,0.10000,000,iteroparous
0.00000,0.15000,000,outOfTime
0.00000,0.25000,000,semelparous
0.00000,0.15000,000,outOfTime
0.00000,0.40000,000,semelparous
0.00000,0.05000,000,iteroparous
0.00000,0.45000,000,semelparous
0.00000,0.05000,000,iteroparous
0.00000,0.35000,000,semelparous
0.00000,0.25000,000,semelparous
0.00000,0.35000,000,semelparous
0.00000,0.50000,000,semelparous
0.00000,0.20000,000,outOfTime
0.00000,0.35000,000,semelparous
0.00000,0.40000,000,semelparous
0.00000,0.15000,000,outOfTime
0.00000,0.35000,000,semelparous
0.00000,0.05000,000,iteroparous
0.00000,0.05000,000,iteroparous
0.00000,0.30000,000,semelparous
0.00000,0.35000,000,semelparous
0.00000,0.05000,000,iteroparous
0.00000,0.15000,000,outOfTime
0.00000,0.30000,000,semelparous
0.00000,0.10000,000,outOfTime
0.00000,0.50000,000,semelparous
0.00000,0.25000,000,semelparous
0.00000,0.20000,000,outOfTime
0.00000,0.20000,000,semelparous
0.00000,0.25000,000,semelparous
0.00000,0.50000,000,semelparous
0.00000,0.30000,000,iteroparous
0.00000,0.50000,000,semelparous
0.00000,0.45000,000,semelparous
0.00000,0.25000,000,semelparous
0.00000,0.15000,000,outOfTime
0.00000,0.25000,000,semelparous
0.00000,0.30000,000,semelparous
