INF1,INF2,sample,result
0.07000,0.02000,000,iteroparous
0.09000,0.00000,000,iteroparous
0.06500,0.08500,000,iteroparous
0.07500,0.28000,000,iteroparous
0.17500,0.02000,000,iteroparous
0.45500,0.00000,000,iteroparous
0.02000,0.05500,000,iteroparous
0.10500,0.08500,000,iteroparous
0.47000,0.14000,000,iteroparous
0.07000,0.02000,000,iteroparous
0.03500,0.00000,000,iteroparous
0.03000,0.05000,000,extinction
0.31500,0.27000,000,extinction
0.13500,0.27000,000,iteroparous
0.09000,0.07000,000,iteroparous
0.08500,0.09500,000,extinction
0.17500,0.02000,000,extinction
0.14500,0.42000,000,extinction
0.04500,0.23000,000,extinction
0.03500,0.01500,000,iteroparous
0.05000,0.07500,000,iteroparous
0.02500,0.01500,000,iteroparous
0.15000,0.27000,000,semelparous
0.05500,0.27000,000,semelparous
0.41500,0.31500,000,extinction
0.02000,0.01500,000,extinction
0.01500,0.02000,000,extinction
0.46500,0.08500,000,extinction
0.05000,0.01500,000,iteroparous
0.21500,0.23500,000,iteroparous
0.17500,0.29500,000,iteroparous
0.05000,0.04500,000,iteroparous
0.01500,0.41000,000,iteroparous
0.02500,0.04500,000,iteroparous
0.00500,0.10000,000,extinction
0.13500,0.22500,000,extinction
0.17000,0.09000,000,iteroparous
0.06500,0.05500,000,extinction
0.34500,0.16000,000,extinction
0.13500,0.06500,000,extinction
0.07500,0.05500,000,extinction
0.00000,0.06000,000,iteroparous
0.04500,0.10000,000,iteroparous
0.05000,0.08000,000,semelparous
0.08500,0.03000,000,extinction
0.05500,0.04500,000,iteroparous
0.05500,0.08500,000,extinction
0.01000,0.05500,000,extinction
0.23500,0.48500,000,extinction
0.00500,0.04500,000,iteroparous
0.35000,0.11000,000,iteroparous
0.14000,0.07500,000,iteroparous
0.21500,0.14000,000,iteroparous
0.12500,0.21000,000,iteroparous
0.01000,0.00500,000,iteroparous
0.08000,0.00500,000,iteroparous
0.06000,0.10000,000,iteroparous
0.06500,0.03500,000,extinction
0.28000,0.23500,000,iteroparous
0.08000,0.05000,000,iteroparous
0.43000,0.03000,000,extinction
0.04500,0.04500,000,extinction
0.05000,0.03000,000,extinction
0.07500,0.00500,000,iteroparous
0.01500,0.05500,000,iteroparous
0.19500,0.50000,000,iteroparous
0.09500,0.00000,000,iteroparous
0.09500,0.02500,000,iteroparous
0.09500,0.01500,000,iteroparous
0.04000,0.10000,000,iteroparous
0.31000,0.27000,000,iteroparous
0.01000,0.01000,000,iteroparous
0.05000,0.09500,000,extinction
0.11500,0.27000,000,iteroparous
0.08500,0.02000,000,extinction
0.31000,0.49500,000,extinction
0.02500,0.50000,000,extinction
0.26000,0.09000,000,extinction
0.01500,0.29000,000,extinction
0.33500,0.11000,000,extinction
0.36000,0.04000,000,iteroparous
0.04500,0.48000,000,extinction
0.02500,0.04000,000,extinction
0.16000,0.24000,000,extinction
0.25500,0.38500,000,semelparous
0.28000,0.41500,000,semelparous
0.31000,0.43000,000,iteroparous
0.08500,0.06500,000,iteroparous
0.41000,0.11000,000,extinction
0.03500,0.00500,000,iteroparous
0.26000,0.16500,000,extinction
0.01500,0.05500,000,extinction
0.37500,0.27000,000,iteroparous
0.07500,0.26500,000,extinction
0.41000,0.15000,000,extinction
0.06000,0.05500,000,iteroparous
0.39000,0.02500,000,extinction
0.40000,0.25000,000,semelparous
0.21000,0.01000,000,iteroparous
0.09000,0.00500,000,iteroparous
0.47000,0.01000,000,iteroparous
0.43500,0.39000,000,semelparous
0.40500,0.47000,000,iteroparous
0.43500,0.33500,000,extinction
0.24500,0.15000,000,iteroparous
0.24500,0.47000,000,iteroparous
0.02500,0.05500,000,iteroparous
0.03000,0.08500,000,iteroparous
