INF1,INF2,sample,result
0.10929,0.02402,000,iteroparous
0.04819,0.20961,000,extinction
0.07818,0.46826,000,iteroparous
0.07560,0.25628,000,iteroparous
0.02381,0.30484,000,iteroparous
0.01138,0.13070,000,iteroparous
0.26610,0.17277,000,extinction
0.03325,0.04749,000,extinction
0.09300,0.42931,000,iteroparous
0.49388,0.22594,000,iteroparous
0.42775,0.47080,000,extinction
0.29461,0.29576,000,iteroparous
0.08520,0.11106,000,iteroparous
0.11199,0.13163,000,extinction
0.39088,0.28328,000,extinction
0.06558,0.01939,000,extinction
0.27015,0.34748,000,iteroparous
0.29173,0.49983,000,iteroparous
0.03630,0.47418,000,semelparous
0.47016,0.44544,000,extinction
0.01998,0.41796,000,iteroparous
0.16725,0.19344,000,extinction
0.16014,0.04256,000,extinction
0.14011,0.22178,000,extinction
0.14315,0.44417,000,extinction
0.38367,0.15309,000,extinction
0.20830,0.16236,000,semelparous
0.01366,0.27746,000,iteroparous
0.41985,0.26374,000,extinction
0.00366,0.07061,000,semelparous
0.49829,0.17175,000,extinction
0.26850,0.15790,000,extinction
0.27177,0.46751,000,extinction
0.02842,0.24871,000,extinction
0.15143,0.08423,000,semelparous
0.23282,0.26760,000,semelparous
0.23254,0.33409,000,iteroparous
0.27154,0.10498,000,iteroparous
0.02081,0.32382,000,semelparous
0.31601,0.42933,000,extinction
0.08641,0.46872,000,iteroparous
0.26869,0.02682,000,extinction
0.22535,0.41483,000,extinction
0.23930,0.03721,000,iteroparous
0.46604,0.45641,000,iteroparous
0.40658,0.36169,000,extinction
0.27071,0.18279,000,extinction
0.09355,0.05588,000,semelparous
0.41310,0.19907,000,extinction
0.48031,0.00409,000,extinction
0.27790,0.18461,000,extinction
0.33555,0.01377,000,iteroparous
0.11367,0.15838,000,iteroparous
0.47995,0.29081,000,iteroparous
0.14885,0.43716,000,iteroparous
0.26846,0.36255,000,iteroparous
0.25219,0.16401,000,semelparous
0.49878,0.35614,000,extinction
0.04210,0.41275,000,extinction
0.23674,0.01928,000,iteroparous
